pool_id,repo,task,features,N,trial,condition,score,n_passed,K,all_passed,cost,wall_seconds
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,1,1,nocomm,1.0,3,3,True,0.5817,158.3
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,1,2,nocomm,1.0,3,3,True,0.7794,276.4
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,1,3,nocomm,1.0,3,3,True,0.5754,159.7
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,1,4,nocomm,1.0,3,3,True,1.1466,332.9
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,2,1,comm,1.0,3,3,True,2.5094,330.8
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,2,2,comm,1.0,3,3,True,2.4165,348.5
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,2,3,comm,1.0,3,3,True,2.0185,349.8
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,2,4,comm,1.0,3,3,True,1.7915,356.9
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,3,1,comm,1.0,3,3,True,6.2623,490.7
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,3,2,comm,1.0,3,3,True,4.1227,379.9
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,3,3,comm,1.0,3,3,True,4.43,387.6
dottxt_ai_outlines_task/1371/f1_f2_f3,dottxt_ai_outlines,1371,f1_f2_f3,3,4,comm,1.0,3,3,True,5.1078,399.0
dottxt_ai_outlines_task/1655/f2_f4_f5,dottxt_ai_outlines,1655,f2_f4_f5,1,1,nocomm,1.0,3,3,True,0.177,58.3
