pool_id,N,trial,condition,context_usd,task_usd,comm_usd,rework_usd,dollar_cost
dottxt_ai_outlines_task/task1371/f1_f2_f3,1,1,nocomm,0.480807,0.100912,0.000000,0.000000,0.581719
dottxt_ai_outlines_task/task1371/f1_f2_f3,1,2,nocomm,0.566549,0.212870,0.000000,0.000000,0.779419
dottxt_ai_outlines_task/task1371/f1_f2_f3,1,3,nocomm,0.444316,0.131076,0.000000,0.000000,0.575392
dottxt_ai_outlines_task/task1371/f1_f2_f3,1,4,nocomm,0.699191,0.447423,0.000000,0.000000,1.146614
dottxt_ai_outlines_task/task1371/f1_f2_f3,2,1,comm,1.291211,0.895675,0.194958,0.127543,2.509387
dottxt_ai_outlines_task/task1371/f1_f2_f3,2,2,comm,0.998049,0.882816,0.406703,0.128976,2.416545
dottxt_ai_outlines_task/task1371/f1_f2_f3,2,3,comm,1.158681,0.421664,0.273772,0.164363,2.018479
dottxt_ai_outlines_task/task1371/f1_f2_f3,2,4,comm,1.003813,0.424201,0.192001,0.171470,1.791484
dottxt_ai_outlines_task/task1371/f1_f2_f3,3,1,comm,2.463541,1.503789,1.509037,0.785931,6.262298
dottxt_ai_outlines_task/task1371/f1_f2_f3,3,2,comm,1.771026,1.001877,1.098007,0.251804,4.122713
dottxt_ai_outlines_task/task1371/f1_f2_f3,3,3,comm,1.990801,0.946172,1.076955,0.416075,4.430003
dottxt_ai_outlines_task/task1371/f1_f2_f3,3,4,comm,1.888572,1.867281,0.803481,0.548419,5.107753
dottxt_ai_outlines_task/task1655/f2_f4_f5,1,1,nocomm,0.148260,0.028749,0.000000,0.000000,0.177009
dottxt_ai_outlines_task/task1655/f2_f4_f5,1,2,nocomm,0.115960,0.002746,0.000000,0.000000,0.118707
dottxt_ai_outlines_task/task1655/f2_f4_f5,1,3,nocomm,0.174646,0.020165,0.000000,0.000000,0.194810
dottxt_ai_outlines_task/task1655/f2_f4_f5,1,4,nocomm,0.093902,0.001946,0.000000,0.000000,0.095848
dottxt_ai_outlines_task/task1655/f2_f4_f5,2,1,comm,0.520444,0.193749,0.047362,0.026791,0.788346
dottxt_ai_outlines_task/task1655/f2_f4_f5,2,2,comm,0.374793,0.100101,0.012432,0.035231,0.522556
dottxt_ai_outlines_task/task1655/f2_f4_f5,2,3,comm,0.502377,0.226377,0.050328,0.022488,0.801570
dottxt_ai_outlines_task/task1655/f2_f4_f5,2,4,comm,0.427643,0.150269,0.040320,0.024566,0.642798
dottxt_ai_outlines_task/task1655/f2_f4_f5,3,1,comm,0.722284,0.345106,0.075574,0.125956,1.268920
dottxt_ai_outlines_task/task1655/f2_f4_f5,3,2,comm,0.651163,0.221857,0.043406,0.001313,0.917739
dottxt_ai_outlines_task/task1655/f2_f4_f5,3,3,comm,0.771207,0.304347,0.056695,0.001943,1.134193
dottxt_ai_outlines_task/task1655/f2_f4_f5,3,4,comm,0.639735,0.334361,0.107118,0.091570,1.172783
dspy_task/task8394/f1_f2_f4,1,1,nocomm,0.982521,0.962590,0.000000,0.000000,1.945111
dspy_task/task8394/f1_f2_f4,1,2,nocomm,1.221644,0.598431,0.000000,0.000000,1.820075
dspy_task/task8394/f1_f2_f4,2,1,comm,1.473204,1.148112,0.554346,0.359937,3.535598
