run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,not_computable_locally,False,0,0,not_computable_locally,191.980787,0.5679753,20,Submitted,9,0.2878962,3020,5531,327764,16257,197,Submitted,11,0.28007909999999997,3022,4046,363223,13311,60,0,,,,,,,,,,,,,,,,,,,,2026-07-04T13:51:35.549071,nano_control_12/coop/dottxt_ai_outlines_task/1371/f1_f2,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,not_computable_locally,False,0,0,not_computable_locally,85.230096,0.25123229999999996,11,Submitted,6,0.1337631,2885,1347,190257,7971,11,Submitted,5,0.1174692,2883,1071,157704,7574,11,0,,,,,,,,,,,,,,,,,,,,2026-07-03T23:56:57.724280,nano_control_12/coop/dottxt_ai_outlines_task/1655/f8_f10,12,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,647.451767,1.1647275000000001,41,Submitted,18,0.46797239999999996,3165,7485,704048,22498,138,Submitted,23,0.6967551000000002,3175,13420,1031527,29412,189,0,,,,,,,,,,,,,,,,,,,,2026-07-04T00:02:20.135469,nano_control_12/coop/dspy_task/8394/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,566.539569,1.4638158000000003,36,Submitted,19,0.7031823000000003,4762,9058,866639,29827,89,Submitted,17,0.7606335000000001,770,11719,744386,55142,136,0,,,,,,,,,,,,,,,,,,,,2026-07-03T23:59:53.115922,nano_control_12/coop/dspy_task/8587/f4_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,337.80341,0.685374,27,Submitted,18,0.49662,36,5910,786600,28647,134,Submitted,9,0.188754,18,2633,296670,10034,61,0,,,,,,,,,,,,,,,,,,,,2026-07-04T13:48:24.521810,nano_control_12/coop/dspy_task/8635/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,249.150907,0.7713024,34,Submitted,18,0.4202475000000001,36,6921,686415,18400,93,Submitted,16,0.35105489999999995,32,6114,575223,14447,30,0,,,,,,,,,,,,,,,,,,,,2026-07-04T00:01:26.638068,nano_control_12/coop/huggingface_datasets_task/3997/f1_f5,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,215.627539,0.7040601000000001,31,Submitted,16,0.3672675,32,5236,589285,18641,30,Submitted,15,0.33679260000000005,30,5184,553522,15481,78,0,,,,,,,,,,,,,,,,,,,,2026-07-04T00:04:55.423653,nano_control_12/coop/llama_index_task/17070/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,266.921787,0.6683508,29,Submitted,14,0.3085163999999999,28,4316,506828,15274,56,Submitted,15,0.35983440000000005,30,5979,569718,16524,34,0,,,,,,,,,,,,,,,,,,,,2026-07-04T00:07:03.121538,nano_control_12/coop/llama_index_task/17244/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,175.5897,0.403776,20,Submitted,9,0.1729554,18,1724,295978,9708,64,Submitted,11,0.2308206,22,2986,379862,12001,66,0,,,,,,,,,,,,,,,,,,,,2026-07-04T00:08:23.711284,nano_control_12/coop/llama_index_task/18813/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,206.009006,0.4747644,14,Submitted,8,0.2904255,16,5566,313125,18825,95,Submitted,6,0.1843389,12,2225,216133,14348,50,0,,,,,,,,,,,,,,,,,,,,2026-07-04T00:10:11.463307,nano_control_12/coop/openai_tiktoken_task/0/f2_f6,12,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,223.042286,0.7752906,34,Submitted,22,0.4484745000000001,40,6174,792815,19650,115,Submitted,12,0.32681609999999994,24,5648,448627,17906,122,0,,,,,,,,,,,,,,,,,,,,2026-07-04T00:10:58.506625,nano_control_12/coop/pallets_click_task/2068/f1_f6,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
