run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,dottxt_ai_outlines_task,1655,f6_f7,6,7,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,92.195092,0.20752650000000003,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:23:23.824197,flash_solo_1/solo/dottxt_ai_outlines_task/1655/f6_f7,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,dottxt_ai_outlines_task,1655,f7_f10,7,10,True,,,,,,False,missing_patch,False,,,True,,,,,,,,,,,92.421526,0.2008668,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:23:24.060023,flash_solo_1/solo/dottxt_ai_outlines_task/1655/f7_f10,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,dottxt_ai_outlines_task,1706,f4_f6,4,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,122.180663,0.2805681,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:16:28.437095,flash_solo_1/solo/dottxt_ai_outlines_task/1706/f4_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,dottxt_ai_outlines_task,1706,f5_f8,5,8,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,184.803001,0.5900148,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:17:36.042252,flash_solo_1/solo/dottxt_ai_outlines_task/1706/f5_f8,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,dspy_task,8394,f3_f4,3,4,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,603.92842,1.2888012000000004,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:26:55.303626,flash_solo_1/solo/dspy_task/8394/f3_f4,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,dspy_task,8394,f3_f5,3,5,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,299.751491,0.6343326,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T15:56:26.099480,flash_solo_1/solo/dspy_task/8394/f3_f5,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,go_chi_task,26,f1_f2,1,2,True,,,,,,False,missing_patch,True,,,False,,,,,,,,,,,318.049846,0.7133573999999997,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:26:28.970425,flash_solo_1/solo/go_chi_task/26/f1_f2,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,go_chi_task,56,f1_f5,1,5,True,,,,,,False,missing_patch,False,,,True,,,,,,,,,,,389.194758,1.5317868,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:31:41.587514,flash_solo_1/solo/go_chi_task/56/f1_f5,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,huggingface_datasets_task,3997,f2_f4,2,4,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,110.852654,0.33925619999999995,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:28:33.932599,flash_solo_1/solo/huggingface_datasets_task/3997/f2_f4,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
flash_solo_1,flash_solo,1,coop_nogit,claude-sonnet-5,claude_code,solo,free,,huggingface_datasets_task,6252,f4_f6,4,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,75.896791,0.2236959,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T14:30:17.819346,flash_solo_1/solo/huggingface_datasets_task/6252/f4_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
