run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,True,20,0,,130.967313,0.5937537,23,Submitted,7,0.254025,2866,5158,246730,15673,188,Submitted,16,0.33972870000000005,3142,4431,590219,14462,85,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:32:48.592743,nano_control_9/coop/dottxt_ai_outlines_task/1371/f1_f2,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,clean,naive,True,False,functional_fail,False,0,0,True,80,0,False,0,0,,True,80,0,,89.390883,0.2944962,14,Submitted,6,0.1295472,2864,1162,189444,7782,11,Submitted,8,0.16494899999999998,2997,1568,260720,9037,14,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:30:55.435082,nano_control_9/coop/dottxt_ai_outlines_task/1655/f8_f10,12,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,True,15,0,,823.216516,1.1202710999999999,42,Submitted,17,0.3978932999999999,3142,5791,629421,18796,141,Submitted,25,0.7223778,4433,13038,1119836,29593,177,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:37:43.136933,nano_control_9/coop/dspy_task/8394/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,620.323776,1.346793,42,Submitted,19,0.5532663,3441,8441,844541,27161,106,Submitted,23,0.7935267,4153,10433,949529,56619,150,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:32:49.068962,nano_control_9/coop/dspy_task/8587/f4_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,214.887161,0.7130741999999999,29,Submitted,20,0.5182670999999999,3150,6980,848457,24930,135,Submitted,9,0.19480709999999996,2999,2476,294367,10060,60,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:37:14.286729,nano_control_9/coop/dspy_task/8635/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,211.249462,0.878493,38,Submitted,11,0.2824446,3003,4200,397772,15184,87,Submitted,27,0.5960483999999999,3293,9352,1063078,21161,53,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:38:33.101700,nano_control_9/coop/huggingface_datasets_task/3997/f1_f5,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,302.707695,0.5170566000000001,16,Submitted,10,0.27305820000000003,3001,2614,382064,18371,19,Submitted,6,0.2439984,2864,4351,221338,17290,68,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:41:07.140474,nano_control_9/coop/llama_index_task/17070/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,277.897509,0.6598061999999999,27,Submitted,14,0.31452539999999996,3009,4673,500018,14233,65,Submitted,13,0.34528079999999994,3007,5352,477266,18800,37,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:42:19.192332,nano_control_9/coop/llama_index_task/17244/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,256.357383,0.49527630000000006,24,Submitted,13,0.2529714,3007,3122,438248,10941,72,Submitted,11,0.24230490000000005,3003,3038,377513,12412,68,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:44:11.339408,nano_control_9/coop/llama_index_task/18813/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,193.244506,0.4950413999999999,17,Submitted,11,0.3043391999999999,3003,5554,391954,15739,63,Submitted,6,0.1907022,2864,2191,212524,14248,50,0,,,,,,,,,,,,,,,,,,,,2026-07-04T13:44:11.119087,nano_control_9/coop/openai_tiktoken_task/0/f2_f6,12,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_9,nano_control,9,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,237.347029,0.8260523999999999,35,Submitted,21,0.43149239999999994,3279,6109,751728,17417,116,Submitted,14,0.39455999999999997,3007,8432,495870,18383,129,0,,,,,,,,,,,,,,,,,,,,2026-07-03T13:47:31.387439,nano_control_9/coop/pallets_click_task/2068/f1_f6,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
