run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,True,20,0,,133.582054,0.5278767,22,Submitted,9,0.2549085,18,5446,330935,12314,199,Submitted,13,0.27296820000000005,26,4353,482204,10489,86,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:37:34.460797,nano_nomsg_git_4/coop/dottxt_ai_outlines_task/1371/f1_f2,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,True,80,0,,172.609708,0.2350149,14,Submitted,6,0.10448669999999999,12,1476,197889,3824,14,Submitted,8,0.1305282,16,1708,270734,3940,11,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:35:04.289961,nano_nomsg_git_4/coop/dottxt_ai_outlines_task/1655/f8_f10,11,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,1206.639222,1.6963974,69,Submitted,36,0.7876296000000002,70,11707,1588662,22536,139,Submitted,33,0.9087677999999999,64,18458,1514006,29584,197,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:51:08.952907,nano_nomsg_git_4/coop/dspy_task/8394/f3_f5,11,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,668.706979,1.1834805000000002,43,Submitted,17,0.4060485,34,6752,696035,15976,81,Submitted,26,0.7774320000000001,50,10456,1089280,48943,138,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:37:55.640457,nano_nomsg_git_4/coop/dspy_task/8587/f4_f5,11,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,290.988773,0.8857922999999998,37,Submitted,25,0.6668858999999998,50,8714,1199633,29356,132,Submitted,12,0.21890639999999997,24,3210,411588,7868,59,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:40:23.084966,nano_nomsg_git_4/coop/dspy_task/8635/f1_f3,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,148.12611,0.7830174,35,Submitted,18,0.3806855999999999,36,5715,689182,14683,73,Submitted,17,0.4023318000000001,34,8217,637936,14599,50,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:42:47.810287,nano_nomsg_git_4/coop/huggingface_datasets_task/3997/f1_f5,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,151.856074,0.4392975,16,Submitted,8,0.20601029999999998,16,2274,303221,13481,19,Submitted,8,0.2332872,16,3936,312204,13423,78,0,,,,,,,,,,,,,,,,,,,,2026-07-08T01:41:15.062620,nano_nomsg_git_4/coop/llama_index_task/17070/f1_f3,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,323.351589,0.5821722,28,Submitted,19,0.38806680000000005,38,5239,731046,15009,55,Submitted,9,0.19410539999999998,18,3781,310488,7365,35,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:49:17.390562,nano_nomsg_git_4/coop/llama_index_task/17244/f3_f5,11,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,394.478604,0.44886299999999996,24,Submitted,14,0.25580309999999995,28,3468,499737,8963,64,Submitted,10,0.1930599,20,2471,348783,8550,60,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:52:01.398158,nano_nomsg_git_4/coop/llama_index_task/18813/f1_f3,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,160.927761,0.3509211,13,Submitted,6,0.1757547,12,4679,235999,5789,71,Submitted,7,0.17516639999999997,14,2282,260648,10450,60,0,,,,,,,,,,,,,,,,,,,,2026-07-08T01:41:31.452111,nano_nomsg_git_4/coop/openai_tiktoken_task/0/f2_f6,11,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_4,nano_nomsg_git,4,coop_git,claude-sonnet-5,claude_code,coop,off,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,238.59255,0.7972170000000001,37,Submitted,21,0.37520310000000007,36,5587,699647,13566,121,Submitted,16,0.4220139,1009,9106,583903,17871,129,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:55:39.477568,nano_nomsg_git_4/coop/pallets_click_task/2068/f1_f6,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
