run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,122.109332,0.41042760000000017,14,Submitted,14,0.41042760000000017,3009,7621,562152,19740,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:06:46.356076,nano_solo_1/solo/dottxt_ai_outlines_task/1371/f1_f2,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1706,f5_f6,5,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,142.881765,0.5803715999999999,19,Submitted,19,0.5803715999999999,3144,9682,777272,32088,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:04:48.852393,nano_solo_1/solo/dottxt_ai_outlines_task/1706/f5_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dspy_task,8394,f3_f5,3,5,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,336.099394,0.7788969,22,Submitted,22,0.7788969,3281,17005,1027683,34279,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:10:05.803426,nano_solo_1/solo/dspy_task/8394/f3_f5,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dspy_task,8563,f4_f6,4,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,201.209936,0.4590765,16,Submitted,16,0.4590765,3013,8283,641815,22208,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:07:21.479782,nano_solo_1/solo/dspy_task/8563/f4_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dspy_task,8587,f1_f2,1,2,True,,,,,,False,missing_patch,True,,,False,,,,,,,,,,,103.039451,0.39073739999999996,16,Submitted,16,0.39073739999999996,3140,4737,607928,21314,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:09:22.508894,nano_solo_1/solo/dspy_task/8587/f1_f2,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,3997,f1_f3,1,3,True,,,,,,False,missing_patch,True,,,False,,,,,,,,,,,365.371017,1.2316946999999998,35,Submitted,35,1.2316946999999998,3438,27238,1734369,48750,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:16:12.457475,nano_solo_1/solo/huggingface_datasets_task/3997/f1_f3,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,7309,f1_f2,1,2,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,128.752744,0.516057,22,Submitted,22,0.516057,3148,7383,760820,27937,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:11:47.962883,nano_solo_1/solo/huggingface_datasets_task/7309/f1_f2,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,llama_index_task,17244,f3_f5,3,5,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,110.945965,0.28309589999999996,11,Submitted,11,0.28309589999999996,3003,4934,386343,14029,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:13:09.582950,nano_solo_1/solo/llama_index_task/17244/f3_f5,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,llama_index_task,18813,f1_f2,1,2,True,,,,,,False,missing_patch,True,,,False,,,,,,,,,,,70.32458,0.2296281,10,Submitted,10,0.2296281,3001,2711,343107,12838,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:14:42.462421,nano_solo_1/solo/llama_index_task/18813/f1_f2,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,openai_tiktoken_task,0,f4_f7,4,7,True,,,,,,False,missing_patch,True,,,False,,,,,,,,,,,175.981115,0.3312945,9,Submitted,9,0.3312945,2999,6122,356605,20581,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:17:31.004519,nano_solo_1/solo/openai_tiktoken_task/0/f4_f7,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,pallets_click_task,2068,f1_f6,1,6,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,177.507224,0.7459526999999998,23,Submitted,23,0.7459526999999998,3283,7435,1274709,40361,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:17:58.287337,nano_solo_1/solo/pallets_click_task/2068/f1_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,pallets_click_task,2800,f3_f7,3,7,True,,,,,,False,missing_patch,False,,,True,,,,,,,,,,,270.928699,0.9731907000000001,30,Submitted,30,0.9731907000000001,3428,17392,1543409,39834,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:21:39.820929,nano_solo_1/solo/pallets_click_task/2800/f3_f7,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,pallets_click_task,2956,f1_f2,1,2,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,223.005165,0.9092616,33,Submitted,33,0.9092616,3434,11376,1665352,38119,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:21:38.326004,nano_solo_1/solo/pallets_click_task/2956/f1_f2,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_solo_1,nano_solo,1,solo,claude-sonnet-5,claude_code,solo,,,pallets_jinja_task,1465,f1_f8,1,8,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,141.629038,0.5255015999999999,19,Submitted,19,0.5255015999999999,3148,9196,795732,23233,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T17:24:06.028218,nano_solo_1/solo/pallets_jinja_task/1465/f1_f8,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
