>> [build] akhatua/cooperbench-huggingface-datasets:task6252
#0 building with "default" instance using docker driver

#1 [internal] load build definition from Dockerfile
#1 transferring dockerfile: 1.25kB done
#1 DONE 0.1s

#2 [internal] load metadata for docker.io/library/python:3.12-slim
#2 DONE 0.4s

#3 [internal] load .dockerignore
#3 transferring context: 2B done
#3 DONE 0.1s

#4 [1/9] FROM docker.io/library/python:3.12-slim@sha256:423ed6ab25b1921a477529254bfeeabf5855151dc2c3141699a1bfc852199fbf
#4 resolve docker.io/library/python:3.12-slim@sha256:423ed6ab25b1921a477529254bfeeabf5855151dc2c3141699a1bfc852199fbf 0.1s done
#4 sha256:b32430367bf08f32c23778909985ac645d1794f0aeef670aa796a50c8751527d 248B / 248B 0.4s done
#4 sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 2.10MB / 12.11MB 2.0s
#4 sha256:aff2d9f8dc87f4c10bbb7f438f3a325169379776bdfad5c49e4be5acc3c2f192 0B / 1.29MB 2.0s
#4 ...

#5 [internal] load build context
#5 transferring context: 3.08kB done
#5 DONE 0.1s

#4 [1/9] FROM docker.io/library/python:3.12-slim@sha256:423ed6ab25b1921a477529254bfeeabf5855151dc2c3141699a1bfc852199fbf
#4 sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 4.19MB / 12.11MB 2.3s
#4 sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 5.24MB / 12.11MB 2.6s
#4 sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 6.29MB / 12.11MB 2.7s
#4 sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 10.49MB / 12.11MB 3.2s
#4 sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 11.53MB / 12.11MB 3.3s
#4 sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 12.11MB / 12.11MB 3.4s done
#4 sha256:aff2d9f8dc87f4c10bbb7f438f3a325169379776bdfad5c49e4be5acc3c2f192 1.05MB / 1.29MB 3.5s
#4 sha256:aff2d9f8dc87f4c10bbb7f438f3a325169379776bdfad5c49e4be5acc3c2f192 1.29MB / 1.29MB 3.5s done
#4 extracting sha256:aff2d9f8dc87f4c10bbb7f438f3a325169379776bdfad5c49e4be5acc3c2f192
#4 extracting sha256:aff2d9f8dc87f4c10bbb7f438f3a325169379776bdfad5c49e4be5acc3c2f192 0.1s done
#4 extracting sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492
#4 extracting sha256:df79d931cd67092e2b8e48d8f6369922571efe4ee0f9af71636ce36600481492 0.4s done
#4 DONE 4.6s

#4 [1/9] FROM docker.io/library/python:3.12-slim@sha256:423ed6ab25b1921a477529254bfeeabf5855151dc2c3141699a1bfc852199fbf
#4 extracting sha256:b32430367bf08f32c23778909985ac645d1794f0aeef670aa796a50c8751527d 0.1s done
#4 DONE 4.7s

#6 [ 2/14] RUN apt-get update && apt-get install -y     git     curl     wget     build-essential     && rm -rf /var/lib/apt/lists/*
#6 0.736 Hit:1 http://deb.debian.org/debian trixie InRelease
#6 0.777 Get:2 http://deb.debian.org/debian trixie-updates InRelease [47.3 kB]
#6 0.909 Get:3 http://deb.debian.org/debian-security trixie-security InRelease [43.4 kB]
#6 0.998 Get:4 http://deb.debian.org/debian trixie/main amd64 Packages [9671 kB]
#6 4.708 Get:5 http://deb.debian.org/debian trixie-updates/main amd64 Packages [5412 B]
#6 4.771 Get:6 http://deb.debian.org/debian-security trixie-security/main amd64 Packages [223 kB]
#6 5.306 Fetched 9990 kB in 5s (2059 kB/s)
#6 5.306 Reading package lists...
#6 6.032 Reading package lists...
#6 6.673 Building dependency tree...
#6 6.857 Reading state information...
#6 7.206 The following additional packages will be installed:
#6 7.206   bash-completion binutils binutils-common binutils-x86-64-linux-gnu bzip2 cpp
#6 7.206   cpp-14 cpp-14-x86-64-linux-gnu cpp-x86-64-linux-gnu dpkg-dev fakeroot g++
#6 7.206   g++-14 g++-14-x86-64-linux-gnu g++-x86-64-linux-gnu gcc gcc-14
#6 7.206   gcc-14-x86-64-linux-gnu gcc-x86-64-linux-gnu git-man krb5-locales less
#6 7.206   libalgorithm-diff-perl libalgorithm-diff-xs-perl libalgorithm-merge-perl
#6 7.207   libasan8 libatomic1 libbinutils libbrotli1 libc-dev-bin libc6-dev
#6 7.207   libcbor0.10 libcc1-0 libcom-err2 libcrypt-dev libctf-nobfd0 libctf0
#6 7.207   libcurl3t64-gnutls libcurl4t64 libdpkg-perl libedit2 liberror-perl libexpat1
#6 7.207   libfakeroot libfido2-1 libfile-fcntllock-perl libgcc-14-dev
#6 7.207   libgdbm-compat4t64 libgnutls30t64 libgomp1 libgprofng0 libgssapi-krb5-2
#6 7.207   libhwasan0 libidn2-0 libisl23 libitm1 libjansson4 libk5crypto3 libkeyutils1
#6 7.207   libkrb5-3 libkrb5support0 libldap-common libldap2 liblocale-gettext-perl
#6 7.207   liblsan0 libmpc3 libmpfr6 libnghttp2-14 libnghttp3-9 libngtcp2-16
#6 7.207   libngtcp2-crypto-gnutls8 libp11-kit0 libperl5.40 libpsl5t64 libquadmath0
#6 7.207   librtmp1 libsasl2-2 libsasl2-modules libsasl2-modules-db libsframe1
#6 7.208   libssh2-1t64 libstdc++-14-dev libtasn1-6 libtsan2 libubsan1 libunistring5
#6 7.208   libx11-6 libx11-data libxau6 libxcb1 libxdmcp6 libxext6 libxmuu1
#6 7.208   linux-libc-dev make manpages manpages-dev openssh-client patch perl
#6 7.208   perl-modules-5.40 publicsuffix rpcsvc-proto sq xauth xz-utils
#6 7.210 Suggested packages:
#6 7.210   binutils-doc gprofng-gui binutils-gold bzip2-doc cpp-doc gcc-14-locales
#6 7.210   cpp-14-doc debian-keyring debian-tag2upload-keyring g++-multilib
#6 7.210   g++-14-multilib gcc-14-doc gcc-multilib autoconf automake libtool flex bison
#6 7.210   gdb gcc-doc gcc-14-multilib gdb-x86-64-linux-gnu gettext-base git-doc
#6 7.210   git-email git-gui gitk gitweb git-cvs git-mediawiki git-svn libc-devtools
#6 7.210   glibc-doc sensible-utils bzr gnutls-bin krb5-doc krb5-user
#6 7.210   libsasl2-modules-gssapi-mit | libsasl2-modules-gssapi-heimdal
#6 7.210   libsasl2-modules-ldap libsasl2-modules-otp libsasl2-modules-sql
#6 7.210   libstdc++-14-doc make-doc man-browser keychain libpam-ssh monkeysphere
#6 7.210   ssh-askpass ed diffutils-doc perl-doc libterm-readline-gnu-perl
#6 7.210   | libterm-readline-perl-perl libtap-harness-archive-perl
#6 7.574 The following NEW packages will be installed:
#6 7.574   bash-completion binutils binutils-common binutils-x86-64-linux-gnu
#6 7.574   build-essential bzip2 cpp cpp-14 cpp-14-x86-64-linux-gnu
#6 7.574   cpp-x86-64-linux-gnu curl dpkg-dev fakeroot g++ g++-14
#6 7.574   g++-14-x86-64-linux-gnu g++-x86-64-linux-gnu gcc gcc-14
#6 7.574   gcc-14-x86-64-linux-gnu gcc-x86-64-linux-gnu git git-man krb5-locales less
#6 7.575   libalgorithm-diff-perl libalgorithm-diff-xs-perl libalgorithm-merge-perl
#6 7.575   libasan8 libatomic1 libbinutils libbrotli1 libc-dev-bin libc6-dev
#6 7.575   libcbor0.10 libcc1-0 libcom-err2 libcrypt-dev libctf-nobfd0 libctf0
#6 7.575   libcurl3t64-gnutls libcurl4t64 libdpkg-perl libedit2 liberror-perl libexpat1
#6 7.575   libfakeroot libfido2-1 libfile-fcntllock-perl libgcc-14-dev
#6 7.575   libgdbm-compat4t64 libgnutls30t64 libgomp1 libgprofng0 libgssapi-krb5-2
#6 7.575   libhwasan0 libidn2-0 libisl23 libitm1 libjansson4 libk5crypto3 libkeyutils1
#6 7.575   libkrb5-3 libkrb5support0 libldap-common libldap2 liblocale-gettext-perl
#6 7.575   liblsan0 libmpc3 libmpfr6 libnghttp2-14 libnghttp3-9 libngtcp2-16
#6 7.575   libngtcp2-crypto-gnutls8 libp11-kit0 libperl5.40 libpsl5t64 libquadmath0
#6 7.576   librtmp1 libsasl2-2 libsasl2-modules libsasl2-modules-db libsframe1
#6 7.576   libssh2-1t64 libstdc++-14-dev libtasn1-6 libtsan2 libubsan1 libunistring5
#6 7.576   libx11-6 libx11-data libxau6 libxcb1 libxdmcp6 libxext6 libxmuu1
#6 7.576   linux-libc-dev make manpages manpages-dev openssh-client patch perl
#6 7.576   perl-modules-5.40 publicsuffix rpcsvc-proto sq wget xauth xz-utils
#6 7.947 0 upgraded, 110 newly installed, 0 to remove and 0 not upgraded.
#6 7.947 Need to get 113 MB of archives.
#6 7.947 After this operation, 452 MB of additional disk space will be used.
