pool_id,repo,task_id,features,K,N,condition,trial,seed,context_tokens,task_tokens,comm_tokens,rework_tokens,buckets_recoverable,context_usd,task_usd,comm_usd,rework_usd,total_tokens,dollar_cost,total_steps,score,n_passed,best_score,git_integrated,all_passed,pass,failure_bucket,merge_status,messages_sent,message_reads,conflict_events,rework_turns,comm_sent_tokens,comm_recv_tokens,comm_reingest_tokens
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,1,0,34067,143,0,0,True,0.48080689439551644,0.1009120056044836,0.0,0.0,547977,0.5817189,11,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,2,0,34067,256,0,0,True,0.5665490312202616,0.21286956877973845,0.0,0.0,913945,0.7794186,16,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,3,0,34067,201,0,0,True,0.44431616604710195,0.13107633395289794,0.0,0.0,875518,0.5753924999999999,18,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,4,0,34067,436,0,0,True,0.6991907982279342,0.44742300177206573,0.0,0.0,1421925,1.1466138,23,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,1,0,67323,934,9447,133,True,1.2912107650055795,0.8956752183616381,0.19495799988535442,0.12754261674742814,4727762,2.5093866,85,1.0,3,1.0,True,True,True,,,6,163,0,5,632,709,8106
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,2,0,67323,1191,26828,174,True,0.9980494017931746,0.8828163016618917,0.406703315193826,0.1289756813511076,5075584,2.4165446999999998,88,1.0,3,1.0,True,True,True,,,7,166,0,10,694,1051,25083
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,3,0,67323,490,15249,191,True,1.1586807228990448,0.4216638847203273,0.2737717311937243,0.16436286118690308,3299779,2.0184791999999994,61,1.0,3,1.0,True,True,True,,,6,97,0,6,792,1177,13280
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,4,0,67323,569,10674,230,True,1.0038126574831456,0.42420079475655414,0.1920011822172284,0.1714695655430711,3027208,1.7914841999999993,56,1.0,3,1.0,True,True,True,,,4,114,0,7,397,738,9539
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,3,comm,1,0,99522,1215,50517,635,True,2.4635409018285745,1.5037892102860264,1.5090370014396168,0.7859309864457833,12327282,6.262298100000001,175,1.0,3,1.0,True,True,True,,,21,331,0,25,1955,2328,46234
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,3,comm,2,0,99522,1126,58466,283,True,1.7710260236142163,1.0018766215457928,1.09800695031294,0.251803804527051,7454171,4.1227134,125,1.0,3,1.0,True,True,True,,,18,164,0,15,2664,2670,53132
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,3,comm,3,0,99522,946,53186,416,True,1.9908010402546732,0.9461715922514224,1.076955310436196,0.4160754570577079,7814336,4.4300033999999995,133,1.0,3,1.0,True,True,True,,,14,259,0,18,1048,1830,50308
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,3,comm,4,0,99522,1968,37420,578,True,1.8885724039723137,1.8672808479620155,0.8034810811337367,0.5484188669319334,10718572,5.107753199999999,173,1.0,3,1.0,True,True,True,,,15,295,0,19,779,1130,35511
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,1,nocomm,1,0,33778,131,0,0,True,0.14825952196984724,0.028749478030152747,0.0,0.0,217308,0.17700899999999997,6,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,1,nocomm,2,0,33778,16,0,0,True,0.1159602901440222,0.0027464098559777895,0.0,0.0,218549,0.1187067,6,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,1,nocomm,3,0,33778,78,0,0,True,0.17464556393120656,0.020164536068793464,0.0,0.0,253715,0.1948101,7,0.6666666666666666,2,0.6666666666666666,False,False,False,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,1,nocomm,4,0,33778,14,0,0,True,0.09390221299379314,0.0019459870062068566,0.0,0.0,179890,0.0958482,5,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,2,comm,1,0,67020,499,3881,69,True,0.5204437476137472,0.1937492017750372,0.04736177882268344,0.0267909717885322,1467843,0.7883457,39,1.0,3,1.0,True,True,True,,,5,39,0,2,232,335,3314
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,2,comm,2,0,67020,358,2031,126,True,0.37479251126355095,0.10010125263529636,0.012431568972528706,0.03523116712862386,1130281,0.5225564999999999,30,1.0,3,1.0,True,True,True,,,4,39,0,2,158,156,1717
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,2,comm,3,0,67020,604,3727,60,True,0.5023771793255652,0.22637706379636038,0.050327669083733886,0.022487787794340432,1568852,0.8015696999999999,41,1.0,3,1.0,True,True,True,,,4,55,0,1,213,278,3236
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,2,comm,4,0,67020,471,3570,77,True,0.42764313787113223,0.1502685153217721,0.040320456404173165,0.024566190402922402,1401144,0.6427982999999999,36,1.0,3,1.0,True,True,True,,,4,28,0,3,151,277,3142
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,3,comm,1,0,99205,948,7792,346,True,0.7222837791031931,0.34510610482829845,0.07557386852569066,0.1259564475428178,2524842,1.2689202,65,0.6666666666666666,2,0.6666666666666666,True,False,False,,,12,71,0,6,512,425,6855
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,3,comm,2,0,99205,676,4389,4,True,0.6511629224777926,0.22185682959275632,0.04340648562416857,0.0013127623052825819,1995378,0.9177390000000001,54,1.0,3,1.0,True,True,True,,,12,45,0,2,626,276,3487
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,3,comm,3,0,99205,783,7285,5,True,0.7712073273417045,0.3043472291258276,0.0566948746363898,0.001943468896078082,2228672,1.1341929,58,1.0,3,1.0,True,True,True,,,12,65,0,3,592,464,6229
dottxt_ai_outlines_task/task1655/f2_f4_f5,dottxt_ai_outlines_task,1655,2_4_5,3,3,comm,4,0,99205,1037,8223,284,True,0.6397346243772887,0.33436056926528324,0.10711790580647289,0.0915703005509551,2620909,1.1727834,69,1.0,3,1.0,True,True,True,,,12,86,0,6,562,481,7180
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,1,nocomm,1,0,34249,469,0,0,True,0.5770617268756824,0.3951092731243176,0.0,0.0,1637688,0.972171,30,0.6666666666666666,2,0.6666666666666666,False,False,False,,,0,0,0,0,0,0,0
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,1,nocomm,2,0,34249,620,0,0,True,0.5722627927109993,0.5179756072890006,0.0,0.0,1768308,1.0902384,30,0.6666666666666666,2,0.6666666666666666,False,False,False,,,0,0,0,0,0,0,0
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,1,nocomm,3,0,34249,419,0,0,True,0.6177267131089329,0.3778613868910668,0.0,0.0,1257088,0.9955880999999998,21,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,1,nocomm,4,0,34249,516,0,0,True,0.6319057707105863,0.47601882928941364,0.0,0.0,1914417,1.1079246,32,0.6666666666666666,2,0.6666666666666666,False,False,False,,,0,0,0,0,0,0,0
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,2,comm,1,0,67550,542,181839,293,True,0.47271061545426385,0.1896440811074841,1.2910003326550548,0.10251977078319713,3740079,2.0558748,67,0.6666666666666666,2,0.6666666666666666,True,False,False,,,5,136,0,11,456,5293,176090
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,2,comm,2,0,67550,1078,124250,350,True,0.5664346800572422,0.45197378615966477,1.0497782980169683,0.14674473576612493,4505005,2.2149315,77,1.0,3,1.0,True,True,True,,,5,146,0,15,409,5011,118830
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,2,comm,3,0,67550,1165,10322,189,True,1.102314171580129,0.9505521908888606,0.22015278295762433,0.15420975457338595,4807784,2.4272289,86,0.6666666666666666,2,0.6666666666666666,True,False,False,,,5,147,0,6,381,467,9474
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,2,comm,4,0,67550,1205,323280,566,True,0.3540372754625212,0.31577714058648265,1.707680847376765,0.14832353657423167,5511063,2.5258188000000006,88,0.3333333333333333,1,0.3333333333333333,True,False,False,,,4,239,0,20,256,9426,313598
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,3,comm,1,0,99794,1570,41626,799,True,1.2659433942671139,0.995816947411352,0.5284806882695148,0.5067883700520192,6725198,3.2970294,123,0.6666666666666666,2,0.6666666666666666,True,False,False,,,14,193,0,25,1116,1567,38943
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,3,comm,2,0,99794,1555,144941,389,True,0.9848082556520666,0.7672689928948454,1.4268637480858237,0.19194060336726357,6957152,3.3708815999999993,127,0.3333333333333333,1,0.3333333333333333,True,False,False,,,14,143,0,14,1652,5814,137475
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,3,comm,3,0,99794,1876,23499,735,True,1.3519350301550948,1.2707327677871205,0.3515648833352192,0.49786171872256585,7170878,3.4720944000000005,130,0.3333333333333333,1,0.3333333333333333,True,False,False,,,14,195,0,20,748,919,21832
dspy_task/task8635/f1_f3_f4,dspy_task,8635,1_3_4,3,3,comm,4,0,99794,1915,123158,544,True,1.0427582604379695,1.000502068630735,1.3533475396858021,0.28421573124549343,7714445,3.6808236,129,0.3333333333333333,1,0.3333333333333333,True,False,False,,,16,208,0,20,1440,6144,115574
llama_index_task/task17070/f1_f2_f3,llama_index_task,17070,1_2_3,3,1,nocomm,1,0,32337,255,0,0,True,0.2658065252445273,0.10480357475547278,0.0,0.0,470459,0.37061010000000005,12,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
llama_index_task/task17070/f1_f2_f3,llama_index_task,17070,1_2_3,3,1,nocomm,2,0,32337,95,0,0,True,0.2864663916520614,0.04207920834793864,0.0,0.0,398786,0.32854560000000005,9,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
llama_index_task/task17070/f1_f2_f3,llama_index_task,17070,1_2_3,3,1,nocomm,3,0,32337,194,0,0,True,0.28227530930132977,0.08467299069867022,0.0,0.0,429780,0.3669483,11,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
llama_index_task/task17070/f1_f2_f3,llama_index_task,17070,1_2_3,3,1,nocomm,4,0,32337,213,0,0,True,0.25242290635075715,0.08313399364924279,0.0,0.0,440161,0.33555689999999994,11,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
llama_index_task/task17070/f1_f2_f3,llama_index_task,17070,1_2_3,3,2,comm,1,0,65655,414,1773,0,True,0.8832661219281341,0.27848006585808205,0.02509011221378372,0.0,1847600,1.1868363,40,1.0,3,1.0,True,True,True,,,4,39,0,0,258,115,1400
