pool_id,repo,task_id,features,K,N,condition,trial,seed,context_tokens,task_tokens,comm_tokens,rework_tokens,buckets_recoverable,context_usd,task_usd,comm_usd,rework_usd,total_tokens,dollar_cost,total_steps,wall_seconds,agent_seconds,score,n_passed,best_score,git_integrated,all_passed,pass,failure_bucket,merge_status,messages_sent,message_reads,conflict_events,rework_turns,comm_sent_tokens,comm_recv_tokens,comm_reingest_tokens
dspy_task/task8394/f1_f2_f4,dspy_task,8394,1_2_4,3,1,nocomm,1,0,34704,680,0,0,True,0.9825212372612949,0.9625899627387053,0.0,0.0,3421903,1.9451112000000002,47,580.141008,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dspy_task/task8394/f1_f2_f4,dspy_task,8394,1_2_4,3,1,nocomm,2,0,34704,340,0,0,True,1.2216442960235185,0.5984311039764817,0.0,0.0,2412964,1.8200754000000003,37,578.109264,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dspy_task/task8394/f1_f2_f4,dspy_task,8394,1_2_4,3,2,comm,1,0,67943,1059,22226,332,True,1.4732039451437826,1.148111636156238,0.554346026250621,0.35993679244935883,7031825,3.5355984,108,601.979452,,1.0,3,1.0,True,True,True,,,5,132,0,13,460,1128,20638
dspy_task/task8394/f1_f2_f4,dspy_task,8394,1_2_4,3,2,comm,2,0,67943,186,1969,242,True,0.7838371714379064,0.1072911954781586,0.028587912085470648,0.13959392099846443,1267267,1.0593102,35,213.73141,,0.0,0,0.0,True,False,False,,,3,16,0,4,241,108,1620
dspy_task/task8394/f1_f2_f4,dspy_task,8394,1_2_4,3,3,comm,1,0,100125,1837,171487,449,True,1.4971424930491193,1.3734086190917516,2.5697320092678404,0.33568887859128826,11377574,5.775971999999999,161,778.786435,,1.0,3,1.0,True,True,True,,,16,399,0,14,1180,6033,164274
dspy_task/task8394/f1_f2_f4,dspy_task,8394,1_2_4,3,3,comm,2,0,100125,2029,64718,1023,True,2.3172031448483663,2.3478677557539753,1.5588731029283025,1.183769696469353,16496270,7.407713699999997,208,982.271492,,0.6666666666666666,2,0.6666666666666666,True,False,False,,,14,484,0,25,1110,1392,62216
openai_tiktoken_task/task0/f1_f2_f3,openai_tiktoken_task,0,1_2_3,3,1,nocomm,1,0,32510,18,0,0,True,0.33041593478000597,0.009147165219994015,0.0,0.0,349366,0.33956309999999995,8,103.808554,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
openai_tiktoken_task/task0/f1_f2_f3,openai_tiktoken_task,0,1_2_3,3,1,nocomm,2,0,32510,121,0,0,True,0.2224035573392116,0.04138854266078838,0.0,0.0,383573,0.26379210000000003,10,94.525448,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
openai_tiktoken_task/task0/f1_f2_f3,openai_tiktoken_task,0,1_2_3,3,2,comm,1,0,65728,196,5552,217,True,1.0880182040644977,0.16222277263619883,0.13161563930922623,0.1796037839900773,2608304,1.5614604,53,205.677355,,1.0,3,1.0,True,True,True,,,5,106,0,7,301,243,5008
openai_tiktoken_task/task0/f1_f2_f3,openai_tiktoken_task,0,1_2_3,3,2,comm,2,0,65728,210,11615,297,True,0.9053252978385639,0.14462505518660113,0.21182749749664181,0.20454114947819305,2752868,1.466319,58,201.545612,,1.0,3,1.0,True,True,True,,,7,119,0,9,486,529,10600
openai_tiktoken_task/task0/f1_f2_f3,openai_tiktoken_task,0,1_2_3,3,3,comm,1,0,97889,773,13205,729,True,1.403580166060799,0.5541825273345309,0.26564915094248,0.5226378556621901,5340923,2.7460497,103,216.822465,,1.0,3,1.0,True,True,True,,,16,126,0,21,878,403,11924
openai_tiktoken_task/task0/f1_f2_f3,openai_tiktoken_task,0,1_2_3,3,3,comm,2,0,97889,391,29629,470,True,1.479431389303702,0.29546612654013604,0.5255820980337478,0.3551638861224142,5060856,2.6556435,93,291.264363,,1.0,3,1.0,True,True,True,,,20,149,0,14,1303,2107,26219
