pool_id,repo,task_id,features,K,N,condition,trial,seed,context_tokens,task_tokens,comm_tokens,rework_tokens,buckets_recoverable,context_usd,task_usd,comm_usd,rework_usd,total_tokens,dollar_cost,total_steps,wall_seconds,agent_seconds,score,n_passed,best_score,git_integrated,all_passed,pass,failure_bucket,merge_status,messages_sent,message_reads,conflict_events,rework_turns,comm_sent_tokens,comm_recv_tokens,comm_reingest_tokens
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,1,nocomm,1,0,33012,214,0,0,True,0.2250023969253295,0.07292880307467059,0.0,0.0,510428,0.29793120000000006,13,108.921488,,1.0,4,1.0,False,True,True,,,0,0,0,0,0,0,0
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,1,nocomm,2,0,33012,205,0,0,True,0.19726230481253756,0.06124859518746244,0.0,0.0,426310,0.2585109,11,94.249788,,1.0,4,1.0,False,True,True,,,0,0,0,0,0,0,0
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,2,comm,1,0,66302,578,47221,61,True,0.6530363512326733,0.28464828437489464,0.4925006284981956,0.03004073589423628,2530273,1.4602259999999998,57,216.270249,,1.0,4,1.0,True,True,True,,,5,117,0,4,468,2491,44262
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,2,comm,2,0,66302,773,36450,7,True,0.5250999480018184,0.3061010676943423,0.3158424470802165,0.0027719372236227635,2275527,1.1498154,53,216.889649,,1.0,4,1.0,True,True,True,,,4,52,0,1,320,2581,33549
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,3,comm,1,0,98535,1355,28305,298,True,1.3809750437711545,0.9495210759171434,0.4336403189660862,0.20882456134561533,5976122,2.9729609999999993,119,275.687155,,1.0,4,1.0,True,True,True,,,16,230,0,9,1064,995,26246
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,3,comm,2,0,98535,1097,39422,250,True,1.15085576607006,0.6406296114978719,0.592497713066099,0.14599580936596898,5365845,2.5299789,114,295.201411,,1.0,4,1.0,True,True,True,,,19,268,0,8,1243,1636,36543
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,4,comm,1,0,130860,1862,99080,96,True,1.4613391561107447,1.0396658675982755,1.1517733396156664,0.05360253667531388,7166437,3.7063809,145,264.863675,,1.0,4,1.0,True,True,True,,,26,226,0,14,1391,3624,94065
llama_index_task/task17244/f1_f2_f3_f5,llama_index_task,17244,1_2_3_5,4,4,comm,2,0,130860,1931,39357,264,True,1.9298005249256625,1.423828829906562,0.6325457276145227,0.1946612175532534,8509230,4.1808363,163,358.213134,,1.0,4,1.0,True,True,True,,,28,259,0,13,2164,1615,35578
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,1,nocomm,1,0,36588,678,0,0,True,1.1784364756384063,1.0918606243615934,0.0,0.0,4128550,2.2702970999999996,52,770.74048,,1.0,4,1.0,False,True,True,,,0,0,0,0,0,0,0
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,1,nocomm,2,0,36588,467,0,0,True,1.4489686731889622,0.9247135268110382,0.0,0.0,3631738,2.3736822,48,715.395158,,1.0,4,1.0,False,True,True,,,0,0,0,0,0,0,0
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,2,comm,1,0,69827,1945,316850,850,True,0.7888161286287438,1.098606105219261,3.6326978289096448,0.48011063724235065,12879285,6.0002307,147,934.331246,,0.75,3,0.75,True,False,False,,,7,465,0,28,929,5855,310066
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,2,comm,2,0,69827,1839,389133,900,True,0.7491251301231442,0.9864673509505366,4.19974393771072,0.482773581215597,14093556,6.418109999999999,160,1082.130954,,1.0,4,1.0,True,True,True,,,7,664,0,30,819,5712,382602
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,3,comm,1,0,102009,2410,66493,808,True,2.399621436457698,2.834596781589396,1.7362787423162929,0.9503544396366107,17288571,7.920851399999998,220,883.421406,,1.0,4,1.0,True,True,True,,,14,343,0,26,1183,1859,63451
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,3,comm,2,0,102009,2006,67144,1262,True,2.0410509302028936,2.0068563391401764,1.4407947968608668,1.2625387337960627,15104289,6.751240799999999,213,823.903311,,1.0,4,1.0,True,True,True,,,18,452,0,37,1885,1699,63560
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,4,comm,1,0,134283,3553,201222,1340,True,2.9444885822197526,3.8954178610199293,4.416239504898034,1.4691415518622868,29270101,12.725287500000002,345,1001.083623,,0.75,3,0.75,True,False,False,,,30,420,0,57,3420,3630,194172
dspy_task/task8394/f2_f3_f4_f5,dspy_task,8394,2_3_4_5,4,4,comm,2,0,134283,3496,175369,1243,True,2.5847724809500803,3.3646718472932093,3.3728717912688784,1.1963063804878318,23805554,10.5186225,307,872.725167,,0.75,3,0.75,True,False,False,,,42,585,0,50,4393,5336,165640
